iteration,loss
1,2.511461526155472
2,2.699777126312256
3,2.1888017654418945
4,2.036693811416626
5,2.912662982940674
6,2.2605551183223724
7,2.26065731048584
8,2.1005473136901855
9,2.256610870361328
10,2.0290470123291016
11,2.1998159885406494
12,2.7087554931640625
13,2.103969097137451
14,1.9647095203399658
15,2.2625949382781982
16,2.061963051557541
17,1.9910541772842407
18,1.8605964183807373
19,1.8457491397857666
20,1.9201767444610596
21,2.3221389949321747
22,2.112861156463623
23,2.2752685546875
24,1.8850640058517456
25,2.3956525325775146
